bigram phrase,frequency
look like,12
here and,12
america has,12
she had,12
can afford,12
trillion dollars,12
me and,12
the senate,12
tax reform,12
out a,12
is so,12
what will,12
up in,12
we just,12
he wanted,12
support for,12
in many,12
protect the,12
to vote,11
that means,11
do not,11
today and,11
the hard,11
new businesses,11
to recognize,11
is what,11
the grandmother,11
years i,11
just to,11
so if,11
america is,11
you don't,11
to put,11
not in,11
with all,11
this state,11
families get,11
proud of,11
children's defense,11
and work,11
with them,11
keep us,11
no one,11
afford a,11
made a,11
any of,11
looking at,11
are a,11
all americans,11
it the,11
the progress,11
have more,11
not running,11
great depression,11
promise of,11
in iraq,11
if you're,11
too big,11
believe we,11
big banks,11
from their,11
the board,11
communities and,11
paying jobs,11
left behind,11
keep up,11
way of,11
the importance,11
to all,11
this and,11
because the,11
don t,11
agenda for,11
new jobs,11
know there,11
in order,11
was in,11
women are,11
support and,11
in it,11
but to,11
to fight,11
doing it,11
good for,11
the resources,11
has the,11
make college,11
raise wages,11
less than,11
to what,11
the national,11
human rights,11
are you,11
that has,11
about a,11
in washington,11
get to,11
is too,11
of dollars,11
to them,11
way we,11
a part,11
and too,11
you look,11
could be,11
higher wages,11
defense fund,11
that because,11
and your,11
defeat isis,11
on their,11
waiting for,11
of law,11
not gonna,11
other countries,11
talked to,11
by this,11
than a,11
this election,11
23 million,11
the ground,11
we see,11
the granddaughter,11
will make,11
in some,11
i didn't,11
up a,11
our history,11
nuclear weapons,11
to leave,11
you get,11
it needs,11
law school,11
to end,11
down on,11
to cut,11
vice president,11
job that,11
proud to,11
term investments,11
be more,11
had been,11
gonna have,11
rules on,11
you think,11
find a,11
a republican,11
safe and,11
serious about,11
that in,10
us we,10
with me,10
incomes rising,10
profit sharing,10
will require,10
they can't,10
of her,10
what a,10
care to,10
it we,10
he did,10
now you,10
focused on,10
college and,10
to drive,10
nothing to,10
you want,10
the global,10
months i,10
is just,10
that's the,10
here with,10
doing what,10
family leave,10
know you,10
common sense,10
coming up,10
that can,10
to other,10
but that's,10
ended up,10
get it,10
republicans in,10
better than,10
yes we,10
now in,10
the state,10
former president,10
so you,10
against isis,10
those of,10
work but,10
year old,10
involved in,10
listening to,10
respond to,10
working together,10
a child,10
do as,10
other side,10
9 11,10
parents and,10
to close,10
away from,10
tax relief,10
and let,10
affordable and,10
they say,10
the greatest,10
it to,10
most of,10
i met,10
a growth,10
planned parenthood,10
the truth,10
community college,10
the democratic,10
american workers,10
african american,10
american families,10
talked about,10
cut taxes,10
and be,10
a different,10
too much,10
long time,10
to high,10
to stay,10
the sidelines,10
my dad,10
energy and,10
do their,10
our best,10
can tell,10
so this,10
he went,10
to thank,10
economy that,10
make that,10
just about,10
working as,10
will set,10
sexual assault,10
as your,10
my life,10
can we,10
more and,10
who has,10
strategy to,10
change we,10
is one,10
people to,10
are in,10
as you,10
america where,10
granddaughter of,10
than they,10
the wealthy,10
gun violence,10
committed to,10
their homes,10
my granddaughter,10
we re,10
lives and,10
san bernardino,10
show that,10
making sure,10
our kids,10
s what,10
a third,10
i got,10
build an,10
are so,10
really help,10
of pocket,10
live up,10
isis and,10
the community,10
to and,10
believed in,10
main street,10
and by,10
truth is,10
relief and,10
think i,10
right and,10
be my,10
you can't,10
so i'm,10
is no,10
takes to,10
renewable energy,10
and one,10
majority of,10
had no,10
off the,10
is about,10
obama and,10
that could,10
and fairness,10
that we're,10
than that,10
eight years,10
we face,10
deserve to,10
and keep,10
to turn,10
companies that,10
make our,10
necessary to,10
america that,10
it comes,10
american communities,10
the so,10
people with,10
order to,9
the fbi,9
here's what,9
my entire,9
turned out,9
the potential,9
our entire,9
be how,9
economy to,9
a country,9
come together,9
rising again,9
and because,9
and say,9
i ve,9
who work,9
down economics,9
burdens on,9
stand in,9
look forward,9
we ve,9
heard about,9
rights and,9
they just,9
a president,9
growth we,9
that for,9
by some,9
know it,9
to defeat,9
comes to,9
because he,9
life i,9
our time,9
just a,9
seems to,9
said you,9
against the,9
financial industry,9
for equal,9
for strong,9
and america,9
so called,9
investments that,9
dollars and,9
or other,9
jobs for,9
but in,9
get all,9
well and,9
the problem,9
workers to,9
something that,9
it so,9
we gotta,9
to set,9
and women's,9
what i'm,9
comprehensive immigration,9
on behalf,9
we could,9
ahead but,9
a half,9
high frequency,9
hundreds of,9
factory worker,9
fight against,9
more growth,9
a real,9
lot about,9
own rules,9
national security,9
going on,9
democrats are,9
delighted to,9
to offer,9
harder for,9
their part,9
on it,9
auto industry,9
protect our,9
join me,9
was just,9
and put,9
by a,9
there s,9
how hard,9
the family,9
world to,9
a raise,9
prepared to,9
their jobs,9
human trafficking,9
once and,9
going back,9
what happened,9
the hands,9
the university,9
back from,9
for this,9
tell me,9
have heard,9
into a,9
may not,9
for her,9
standing again,9
to move,9
good paying,9
don't want,9
he has,9
which has,9
let the,9
not yet,9
the brink,9
first day,9
the coming,9
are on,9
and i've,9
will keep,9
10 years,9
that so,9
that america,9
ceos and,9
more people,9
yet running,9
in florida,9
to share,9
america you,9
country i,9
about all,9
and as,9
again we,9
to achieve,9
right here,9
health insurance,9
and even,9
this we,9
and should,9
god given,9
a factory,9
given potential,9
future and,9
but we're,9
dodd frank,9
what happens,9
stake in,9
really hard,9
bad for,9
interest rates,9
like you,9
when he,9
to let,9
very different,9
long run,9
last year,9
to lead,9
are at,9
because she,9
talking to,9
all know,9
is an,9
making it,9
the evidence,9
yes and,9
can make,9
nuclear weapon,9
but also,9
to grow,9
do in,9
say that,9
create jobs,9
is still,9
for themselves,9
our future,9
plans to,9
my heart,9
like in,9
senator from,9
go through,9
that should,9
i support,9
an economy,9
a middle,9
they will,9
when a,9
more about,9
the age,9
a broader,9
your president,9
they get,9
everything i,9
thanks to,9
to his,9
have an,9
they do,9
will ensure,9
why we,9
for your,9
to reach,9
the successful,9
isis but,9
but as,9
a hard,9
life and,9
children in,9
education and,8
some people,8
know they,8
from my,8
find common,8
a scientist,8
have done,8
the world's,8
and most,8
more likely,8
the point,8
looking for,8
done it,8
not about,8
a coalition,8
them as,8
their children,8
osama bin,8
like i,8
in her,8
let him,8
or to,8
to rein,8
jobs a,8
first five,8
it i,8
to break,8
walk away,8
and where,8
to some,8
most important,8
and she,8
the choices,8
out the,8
hear this,8
asked me,8
if a,8
the reason,8
future success,8
share the,8
or not,8
only the,8
we give,8
would you,8
to benefit,8
tell that,8
be doing,8
get serious,8
many women,8
the current,8
and simplification,8
such a,8
he could,8
the successes,8
young man,8
of young,8
it's also,8
mental health,8
well so,8
high quality,8
who they,8
this one,8
s time,8
a gun,8
run and,8
to expand,8
again for,8
today in,8
i really,8
needed to,8
longer term,8
with each,8
they weren't,8
loopholes that,8
to reward,8
because when,8
s not,8
issues and,8
partners and,8
day and,8
think you,8
was an,8
be in,8
to run,8
the short,8
to 24,8
you that,8
told us,8
is right,8
without more,8
000 jobs,8
trust and,8
every year,8
tax credit,8
will also,8
did in,8
financial trading,8
most importantly,8
the very,8
will trickle,8
and everything,8
as much,8
refinance their,8
anything you,8
them in,8
the streets,8
care and,8
the debate,8
well that's,8
but you,8
a senator,8
i've also,8
count on,8
to working,8
the super,8
now is,8
and americans,8
about their,8
rein in,8
from isis,8
us back,8
said in,8
that but,8
know in,8
and we've,8
back in,8
do our,8
first place,8
and good,8
supreme court,8
gun owners,8
when they're,8
and at,8
support the,8
from a,8
homes and,8
easier for,8
be done,8
our security,8
full time,8
step up,8
all my,8
agree with,8
the tools,8
class and,8
good jobs,8
once again,8
students and,8
that have,8
third term,8
you said,8
for raising,8
they re,8
all our,8
with republicans,8
every american,8
of it,8
every time,8
it's about,8
this week,8
would make,8
too complex,8
to walk,8
women's issues,8
these trends,8
system and,8
i talk,8
the second,8
happen if,8
the numbers,8
taxes for,8
they know,8
shouldn't be,8
share price,8
to figure,8
said well,8
companies have,8
for everyone,8
sure our,8
rules for,8
off to,8
not to,8
quality affordable,8
out that,8
and every,8
of gun,8
an issue,8
driver of,8
it's what,8
financial crisis,8
to people,8
a balanced,8
they could,8
the auto,8
that's a,8
frequency traders,8
and president,8
at least,8
america today,8
pays off,8
be successful,8
a difference,8
women's rights,8
many business,8
a high,8
an attack,8
the challenges,8
we made,8
with some,8
maybe it,8
in all,8
also want,8
million jobs,8
it up,8
to hold,8
new markets,8
this time,8
benefit from,8
they've been,8
to everyone,8
that my,8
as they,8
background checks,8
and around,8
act and,8
of life,8
to meet,8
two years,8
that really,8
it really,8
of country,8
a few,8
get their,8
think of,8
on her,8
that were,8
and will,8
immigration reform,8
balanced budget,8
their fair,8
think it,8
overseas and,8
and many,8
if the,8
these are,8
in life,8
set up,8
on long,8
can and,8
hillary clinton,8
democratic party,8
for as,8
will happen,8
this fight,8
means for,8
than just,8
civil liberties,8
who is,8
but not,8
800 000,8
a quality,8
to counter,8
program and,8
with your,8
too little,8
can't do,8
the you,8
enough jobs,8
fair share,8
and build,8
next president,8
you may,8
get out,8
incomes we,8
that we've,8
number of,8
she said,8
against these,8
meet the,8
safe from,8
ready to,8
lifts up,8
and syria,8
are some,8
now i'm,8
global economy,8
he worked,8
me in,8
common ground,8
first job,8
just not,8
met with,8
be one,8
business leaders,8
have one,8
sick days,8
administration and,8
same thing,8
create the,7
values and,7
will propose,7
college or,7
i ll,7
my plan,7
to begin,7
as hard,7
came out,7
the start,7
this i,7
loans to,7
and left,7
some cases,7
the cost,7
one in,7
those days,7
that too,7
to tackle,7
reach out,7
then i,7
very important,7
americans and,7
what they're,7
paid family,7
energy superpower,7
do so,7
it but,7
have said,7
and have,7
start working,7
our arab,7
infrastructure bank,7
that iran,7
third of,7
many places,7
where you,7
problem we,7
social security,7
marriage equality,7
questions about,7
big corporations,7
i started,7
family member,7
at this,7
best possible,7
the door,7
hands of,7
that no,7
to develop,7
rules that,7
a special,7
oil and,7
i came,7
get up,7
for years,7
of every,7
million people,7
million new,7
him and,7
to strengthen,7
a couple,7
the department,7
i hear,7
at night,7
or more,7
help families,7
now our,7
like that,7
more affordable,7
us all,7
start with,7
and counterterrorism,7
since the,7
good idea,7
the campaign,7
first lady,7
not all,7
front lines,7
having a,7
eager to,7
where the,7
for some,7
our communities,7
way and,7
the gender,7
i'm sure,7
say i,7
little girl,7
start a,7
s why,7
i heard,7
it now,7
to speak,7
a strong,7
didn't know,7
so when,7
said the,7
for that,7
these challenges,7
important that,7
partners to,7
people you,7
at your,7
in to,7
than three,7
as many,7
for an,7
keep fighting,7
technology and,7
you've been,7
s a,7
president of,7
credit for,7
share growth,7
problems that,7
just need,7
president has,7
place to,7
years in,7
have had,7
go into,7
to rise,7
african americans,7
help them,7
in syria,7
down to,7
those profits,7
the result,7
before you,7
based on,7
state department,7
we would,7
well aware,7
mean it,7
about them,7
hard as,7
set a,7
three kids,7
business president,7
banks to,7
a nation,7
democrat in,7
recognize that,7
with their,7
college without,7
you what,7
create millions,7
and communities,7
as our,7
is now,7
raising three,7
say to,7
they believe,7
everybody to,7
nineteen nineties,7
and businesses,7
the nra,7
who works,7
americans i,7
of women,7
there will,7
the families,7
you got,7
idea that,7
them off,7
more of,7
please join,7
keep the,7
about climate,7
be there,7
but even,7
these issues,7
governor bush,7
many americans,7
all we,7
and here's,7
have some,7
going up,7
can see,7
big challenges,7
refinance your,7
taught me,7
all very,7
to look,7
the broader,7
at our,7
are we,7
but there's,7
the good,7
what that,7
a share,7
said no,7
the nuclear,7
choices we,7
homeland security,7
have so,7
i say,7
saw the,7
classes at,7
to step,7
we began,7
by his,7
shadow banking,7
many young,7
really is,7
out how,7
challenges we,7
breaking down,7
supposed to,7
one that,7
number one,7
give people,7
to believe,7
i'm a,7
issues that,7
the workforce,7
improve the,7
and trust,7
paid fairly,7
your governor,7
the two,7
see that,7
have access,7
will tell,7
right there,7
what's happening,7
her god,7
economy work,7
work of,7
congress and,7
to respond,7
i understand,7
our fellow,7
networks and,7
here to,7
this challenge,7
thousand dollars,7
than men,7
worse than,7
department of,7
teachers and,7
the major,7
do something,7
come to,7
about that,7
two hundred,7
but i'm,7
we're doing,7
our defenses,7
her own,7
institutions in,7
sure you,7
i've said,7
last week,7
the third,7
how i,7
on my,7
job but,7
when all,7
say a,7
see the,7
have created,7
we think,7
and again,7
super wealthy,7
so it,7
care costs,7
than the,7
key driver,7
and share,7
to repeal,7
the rest,7
dealing with,7
intelligence sharing,7
back and,7
closing the,7
where it,7
rise to,7
to listen,7
on campus,7
the only,7
they would,7
this kind,7
our country's,7
behalf of,7
terrorists to,7
conspiring to,7
his daughter,7
important to,7
how you,7
is really,7
all this,7
top priority,7
i get,7
the role,7
what she,7
others to,7
economy is,7
are better,7
hard this,7
americans to,7
to win,7
being able,7
and are,7
their child,7
be and,7
today is,7
i i,7
you would,7
teacher who,7
will we,7
technological change,7
america to,7
more work,7
we understand,7
a more,7
social media,7
call for,7
my husband's,7
of poverty,7
i like,7
with more,7
during the,7
al qaeda,7
also need,7
have you,7
need and,7
budget and,7
obama administration,7
they're not,7
people's lives,7
effects of,7
after i,7
obama's leadership,7
our party,7
federal government,7
enforcement and,7
intelligence and,7
our teachers,7
even if,7
will never,7
our partners,7
prepared for,7
how they,7
us today,7
a national,7
of time,7
a problem,7
the supreme,7
their dreams,7
partner to,7
who i,7
and money,7
the obama,7
a word,7
anything to,7
what i've,7
i saw,6
airports railways,6
that make,6
in addition,6
ever been,6
some work,6
our nation,6
is my,6
and partners,6
her to,6
247 246,6
playing the,6
propose ways,6
my own,6
get that,6
him tell,6
twin cities,6
democrats and,6
to iran,6
missile defense,6
everything else,6
the economic,6
world and,6
growth strategy,6
other candidates,6
that their,6
hedge funds,6
15 years,6
made it,6
people for,6
earned sick,6
take the,6
feel like,6
investment in,6
always be,6
attack in,6
nearly a,6
all those,6
where they,6
and just,6
the concerns,6
how they're,6
wrong and,6
did it,6
me just,6
recession and,6
somali american,6
a huge,6
to her,6
activity and,6
at community,6
i'm talking,6
the key,6
be talking,6
and prevent,6
economy so,6
with these,6
pay off,6
the nineteen,6
of thousands,6
years old,6
up their,6
well he,6
groups and,6
are doing,6
support from,6
billion dollars,6
work as,6
concerns about,6
firmly believe,6
is always,6
years before,6
for fighting,6
i'm president,6
is how,6
that there,6
muslim americans,6
a global,6
years ahead,6
because you,6
union workers,6
justice and,6
it took,6
syria and,6
then there's,6
support a,6
potential and,6
or a,6
my family,6
me because,6
tired of,6
changes in,6
as secretary,6
because these,6
think president,6
work should,6
so proud,6
time for,6
set the,6
at work,6
be on,6
america have,6
women of,6
ahead of,6
was not,6
job of,6
don't get,6
to reform,6
your brain,6
world that,6
am grateful,6
more important,6
so are,6
public it,6
the answers,6
campaign is,6
incomes rose,6
single mom,6
be out,6
brain research,6
state but,6
without the,6
are and,6
i thought,6
striving and,6
than half,6
at that,6
struggle against,6
and missile,6
know it's,6
states has,6
give me,6
in two,6
and profits,6
the longest,6
stock market,6
to avoid,6
money managers,6
are their,6
an international,6
job for,6
fairness economy,6
today i'm,6
but she,6
they deserve,6
expect anything,6
in iran,6
families like,6
you say,6
a greater,6
work longer,6
it makes,6
hard for,6
believe it,6
the basic,6
law and,6
years later,6
running the,6
the determination,6
and research,6
an adult,6
time we,6
the front,6
you as,6
radicalization and,6
party and,6
and implement,6
people into,6
so as,6
it's the,6
say this,6
home or,6
good job,6
share in,6
when people,6
a full,6
a two,6
and create,6
in school,6
credentials for,6
and indeed,6
care about,6
happens to,6
of touch,6
looking forward,6
is why,6
big to,6
tax code,6
or her,6
kinds of,6
through the,6
tries to,6
our job,6
the shadow,6
we've been,6
where to,6
you here,6
the case,6
a major,6
it could,6
incentives to,6
country that,6
our friends,6
juggling a,6
now today,6
they're going,6
our biggest,6
thought i,6
from syria,6
or at,6
attacks and,6
florida is,6
in history,6
importance of,6
a basic,6
the rules,6
a stake,6
did you,6
through a,6
candidates on,6
birth control,6
i wanted,6
course of,6
with america,6
an immediate,6
to manage,6
as americans,6
this but,6
i proposed,6
to strike,6
do need,6
wealthy and,6
and still,6
budgets out,6
to actually,6
costs and,6
past several,6
of iran's,6
really bad,6
for new,6
president clinton,6
and protect,6
past week,6
where he,6
she goes,6
the iranians,6
what do,6
economy in,6
previous generations,6
aware that,6
want us,6
the bottom,6
to play,6
i go,6
and here,6
rates are,6
companies to,6
i see,6
to feel,6
who you,6
in recent,6
get our,6
that women,6
have taken,6
rest of,6
program is,6
up every,6
where i,6
without worrying,6
up this,6
next generation,6
is actually,6
win the,6
gets sick,6
has ever,6
out he,6
like paid,6
better job,6
process that,6
alarmed by,6
push for,6
turn the,6
money in,6
work the,6
buy back,6
kids she,6
criminal justice,6
campaign i,6
sort of,6
fellow americans,6
in 2008,6
and new,6
buying the,6
generations of,6
don't they,6
would do,6
be clear,6
for doing,6
our granddaughter,6
their family,6
should also,6
the issues,6
the research,6
it's really,6
community and,6
let us,6
her work,6
and small,6
time i,6
studies show,6
red tape,6
for many,6
be anything,6
place and,6
terry duffy,6
you the,6
which was,6
it does,6
brain is,6
to use,6
the children,6
nuclear program,6
for and,6
crisis since,6
people together,6
my mom,6
has done,6
if iran,6
in those,6
there's nothing,6
and her,6
pay is,6
so we've,6
a single,6
is here,6
we work,6
police officers,6
if i,6
members of,6
every one,6
by people,6
we got,6
get health,6
go further,6
be waiting,6
corporate profits,6
just look,6
matter and,6
last month,6
cities and,6
at risk,6
will create,6
much thank,6
and focus,6
for america,6
will take,6
by saying,6
i could,6
a plan,6
the recovery,6
people will,6
college while,6
country so,6
the international,6
to your,6
first to,6
life in,6
35 years,6
the reading,6
and with,6
companies and,6
so it's,6
one another,6
support them,6
their employees,6
bad actors,6
easier to,6
can't go,6
i can't,6
people think,6
it with,6
and sacrifice,6
me but,6
on me,6
across america,6
is crucial,6
iran and,6
did not,6
aging parents,6
to think,6
have expressed,6
american power,6
service and,6
is we,6
a luxury,6
more good,6
role in,6
the kids,6
people here,6
i firmly,6
all day,6
fall into,6
and entrepreneurs,6
the measure,6
addition to,6
home to,6
now it's,6
come easy,6
table and,6
families not,6
and there's,6
hundred and,6
workers that,6
jihadists from,6
top but,6
when women,6
and really,6
importantly incomes,6
effort to,6
came from,6
or who,6
risk and,6
the women's,6
i'd be,6
create more,6
was at,6
isis in,6
this in,6
country we,6
we believe,6
house and,6
there and,6
the crash,6
strong and,6
lot to,6
can help,6
job is,6
understand the,6
understand why,6
of opportunity,6
get more,6
that with,6
the real,6
all i,6
refused to,6
crackdown on,6
to hezbollah,6
member gets,6
against women,6
the federal,6
a serious,6
be making,6
help to,6
make this,6
be paid,6
