trigram phrase,frequency
a lot to,6
institutions in the,6
happen if a,6
which has been,6
to work with,6
that should be,6
of american power,6
here in new,6
studies show that,6
gonna have to,6
their own rules,6
a little girl,6
to call for,6
playing the gender,6
let him tell,6
to have to,6
but we can,6
people in this,6
yet running the,6
the state department,6
the importance of,6
want to make,6
come easy but,6
most importantly incomes,6
a good job,6
in the workforce,6
now i am,6
in the country,6
how we do,6
if you go,6
but i want,6
americans are working,6
that it is,6
our country i,6
the rest of,6
every one of,6
they are the,6
on the next,6
our national security,6
in san bernardino,6
i'm gonna do,6
to hear from,6
rules on wall,6
that we will,6
choices we make,6
want to build,6
why i support,6
to live up,6
united states has,6
there are the,6
and across the,6
the supreme court,6
it because we,6
when i talk,6
health care to,6
of those who,6
and listen to,6
agenda for strong,6
and do their,6
i will also,6
to those at,6
as we all,6
about it and,6
to do everything,6
i support the,6
in our country's,6
keep fighting for,6
do need to,6
as well and,6
that it would,6
of the world,6
will do everything,6
do everything i,6
heard about the,6
so many people,6
want us to,6
president to the,6
striving and the,6
what are the,6
in the economy,6
in iraq and,6
just as the,6
we're not yet,6
have the same,6
to make a,6
find common ground,6
their homes and,6
us safe from,6
reach out to,6
so i will,6
but we have,6
women who want,6
and at the,6
college while raising,6
community college while,6
the public it,6
can be anything,6
i know we,6
juggling a job,6
or her god,6
to turn the,6
go into a,6
in the nineteen,6
let me just,6
want to work,6
incomes rise for,6
talk about the,6
now is the,6
to defeat isis,6
have the chance,6
propose ways to,6
up every day,6
do we are,6
it really is,6
to walk away,6
a third of,6
a growth and,6
how much incomes,6
with them to,6
want to see,6
to make that,6
don't want to,6
america and we,6
basic bargain if,6
the gender card,6
every single day,6
said i want,6
have a lot,6
candidates on the,6
not only the,6
i will get,6
be anything you,6
years i will,6
all the answers,6
in a quality,6
way we should,6
here in florida,6
to build on,6
at community college,6
out of touch,6
a stake in,6
your brain is,6
bargain if you,6
was at the,6
him tell that,6
so much worse,6
yes we need,6
money in the,6
balanced budget and,6
in addition to,6
there are some,6
to raise incomes,6
would be a,6
classes at community,6
to reach out,6
member gets sick,6
running the way,6
with all of,6
looking forward to,6
to go through,6
sure that we,6
new york i,6
families not just,6
of state but,6
to come easy,6
we do need,6
of the worst,6
at home we,6
crisis since the,6
i firmly believe,6
be how much,6
if a family,6
i also want,6
and the successful,6
we can't go,6
families get ahead,6
and how do,6
the next generation,6
we know that,6
one of them,6
i mean it,6
work should be,6
much thank you,6
afford to leave,6
families and communities,6
up with a,6
and women of,6
to work longer,6
paid family leave,6
for fighting for,6
we are going,6
or what will,6
need to work,6
just need to,6
but if you,6
will happen if,6
we have made,6
by the time,6
as secretary of,6
going to keep,6
to work should,6
ceos and money,6
of the economy,6
going to have,6
don't know what,6
previous generations of,6
and we began,6
our values and,6
and it is,6
so they can,6
some of you,5
is still too,5
of the people,5
called shadow banking,5
the university of,5
clean renewable energy,5
hard questions about,5
at the state,5
red tape easier,5
failed us before,5
to buy back,5
minimum wage and,5
the credit he,5
how we will,5
not just those,5
up at night,5
for doing the,5
be part of,5
the brink of,5
but the truth,5
should have been,5
good middle class,5
america is standing,5
and let me,5
for everybody not,5
and our teachers,5
to say about,5
us safe and,5
into the middle,5
under president obama,5
cartels to launder,5
granddaughter of a,5
without drowning in,5
maybe it was,5
of you to,5
by this gathering,5
nineteen nineties and,5
but they are,5
their student debt,5
i'm president to,5
to step up,5
go to the,5
hsbc allowing drug,5
many women still,5
just say a,5
what we have,5
by the way,5
i am grateful,5
out to those,5
americans have the,5
and i mean,5
law enforcement officers,5
to ensure a,5
firmly believe that,5
know and trust,5
saved the auto,5
so if we,5
with limited consequences,5
on the wealthy,5
is standing again,5
to set a,5
i think i,5
invest in the,5
the grand daughter,5
of the past,5
the face of,5
believe we have,5
be talking about,5
rise for hard,5
equal pay for,5
and i are,5
america gets ahead,5
a good middle,5
you know over,5
to trickle down,5
everyday about how,5
what's called the,5
know over the,5
daughter of a,5
to fail is,5
for the working,5
get health care,5
right here in,5
less than men,5
to make these,5
make america the,5
to our country,5
be secretary of,5
laid out a,5
but we also,5
of the great,5
states and the,5
way of corporations,5
need to make,5
challenges we face,5
to change and,5
much worse than,5
to have the,5
firms piled risk,5
a job and,5
we are better,5
past time to,5
as part of,5
those with the,5
by the age,5
the first to,5
trickle down to,5
consequences or none,5
five major banks,5
across the region,5
s what i,5
we need new,5
on community banks,5
it possible for,5
alarmed by this,5
or to make,5
these are not,5
earning less than,5
so hard to,5
and and i,5
burdens on community,5
young people who,5
this campaign i,5
there will be,5
to be secretary,5
street grow and,5
we must raise,5
the longest peacetime,5
to launder money,5
growth fair growth,5
lot of people,5
as a nation,5
charges for conspiring,5
our tax code,5
time to end,5
economy and the,5
before the crash,5
best possible start,5
and let s,5
how they're going,5
i was alarmed,5
the top but,5
our fellow americans,5
profits with their,5
his daughter you,5
so that they,5
think president obama,5
pay for equal,5
this in a,5
storm and called,5
regulators in washington,5
make sure we,5
of the border,5
because we love,5
this kind of,5
have the opportunity,5
and most importantly,5
i didn't know,5
industry are shocking,5
talk about it,5
but also to,5
children and grandchildren,5
three kids she,5
will ensure that,5
the course of,5
each other to,5
business president and,5
the front lines,5
for president to,5
in all of,5
to live on,5
work for the,5
make our country,5
still too big,5
was in the,5
to go further,5
jobs for people,5
the years before,5
guilty to felony,5
to end the,5
can tell you,5
you know it's,5
build on it,5
not the right,5
are so many,5
listen to this,5
just those at,5
white house and,5
be thinking about,5
about how they're,5
my mission from,5
of what we,5
in america have,5
off with limited,5
we will be,5
by some as,5
in new york,5
new jobs and,5
fail is still,5
easier access to,5
from the brink,5
formed by the,5
from the financial,5
on the front,5
of our time,5
banks pleading guilty,5
harder for them,5
of us who,5
wall street can,5
financial industry are,5
jobs and profits,5
to work together,5
the other day,5
and i'm going,5
time to stand,5
none at all,5
speak for themselves,5
need to grow,5
get all the,5
the grandmother who,5
herself and her,5
those who are,5
what they can,5
part of this,5
so many women,5
children's health insurance,5
don't need a,5
the best ways,5
them and their,5
the years ahead,5
worked with them,5
the past week,5
of thousands of,5
more work to,5
that nearly a,5
or none at,5
he deserves for,5
working for us,5
the same as,5
of sexual assault,5
lot of them,5
so are their,5
our economy helping,5
hands of terrorists,5
lot to do,5
and medical research,5
and it was,5
and businesses they,5
gathering storm and,5
women still earning,5
end of my,5
young people and,5
work longer hours,5
why i'm so,5
importantly incomes rose,5
people that were,5
we ended up,5
may not be,5
daughter you can,5
higher wages and,5
too dangerous to,5
while raising three,5
work as a,5
be prepared for,5
work for everyday,5
improving financial oversight,5
to felony charges,5
major banks pleading,5
the first day,5
that when i,5
we've got a,5
are eager to,5
it harder for,5
know what they,5
and profits overseas,5
life in the,5
promise of america,5
our entire economy,5
mortgages and improving,5
get off with,5
establish an infrastructure,5
directions and so,5
violence against women,5
be my mission,5
for workers and,5
have to break,5
in the way,5
and all the,5
pleading guilty to,5
figure out how,5
down to everyone,5
let the republicans,5
to make college,5
to do it,5
make it possible,5
cracking down on,5
faster than wages,5
want to generate,5
and so are,5
thank you very,5
the long term,5
taking care of,5
than they told,5
create millions of,5
the world has,5
raise wages and,5
thousands of dollars,5
that they can,5
thousands of people,5
many of our,5
talking about how,5
a senator from,5
without worrying everyday,5
his or her,5
to be in,5
come together to,5
to be talking,5
know what they're,5
local people and,5
to be vigilant,5
say if there,5
into the hands,5
a top priority,5
working families not,5
the federal government,5
tough new rules,5
at home or,5
i know you,5
and to give,5
with their employees,5
back to trickle,5
is so much,5
that failed us,5
for the struggling,5
will get up,5
it easier to,5
have to pay,5
world will be,5
a scientist well,5
in washington either,5
we're not gonna,5
to manipulate currency,5
the worst financial,5
they know and,5
big a problem,5
could have been,5
and improving financial,5
of our biggest,5
years before the,5
markets work for,5
and more than,5
so called shadow,5
support from our,5
you to be,5
to start a,5
some of our,5
people together to,5
allowing drug cartels,5
they told us,5
doesn't expect anything,5
why don't they,5
to do we,5
but i would,5
build a growth,5
who will fight,5
less red tape,5
about all the,5
on the progress,5
try to make,5
economy helping main,5
derivatives cracking down,5
say about how,5
job and women,5
enough with the,5
i think about,5
strong growth fair,5
nor can we,5
shadow banking system,5
they don't have,5
i laid out,5
for those at,5
well i have,5
and called for,5
tell you that,5
public college or,5
to do our,5
broadband networks and,5
still earning less,5
that this is,5
the world in,5
drug cartels to,5
the way that,5
me about their,5
tape easier access,5
thank you thank,5
health insurance program,5
have so many,5
can count on,5
at every level,5
access to high,5
get up every,5
so i think,5
me about it,5
college without drowning,5
the first five,5
evidence shows that,5
third term i'm,5
need a raise,5
a lot more,5
have the right,5
asked me to,5
a long way,5
always dreamed about,5
in fact we,5
there are so,5
the coming weeks,5
so much more,5
that wall street,5
and keep the,5
you very much,5
is a job,5
labor force participation,5
letting big corporations,5
subprime mortgages and,5
and we can't,5
and we're gonna,5
manipulate currency exchange,5
worrying everyday about,5
i can tell,5
policies that failed,5
college or university,5
to be done,5
everybody not just,5
well aware that,5
will be able,5
job is to,5
grow and prosper,5
game the system,5
defeat isis in,5
felony charges for,5
can do that,5
major financial institutions,5
the other hand,5
the people who,5
i am very,5
this is an,5
join me in,5
not only because,5
this is about,5
be enough with,5
to focus on,5
want to get,5
and when the,5
have to raise,5
businesses they know,5
think about this,5
and classes at,5
trust we also,5
should have the,5
what it's like,5
and we've got,5
of our economy,5
and the american,5
helping main street,5
addressing the risks,5
a couple of,5
the job and,5
this gathering storm,5
early childhood education,5
but it's also,5
to support a,5
start with the,5
that's why we,5
in the race,5
about what we,5
a better job,5
like paid leave,5
my entire career,5
they can afford,5
to the last,5
of us and,5
credit he deserves,5
you can count,5
make it strong,5
conspiring to manipulate,5
over the last,5
that is why,5
to the united,5
and when you,5
fight to make,5
going to let,5
to do so,5
too big a,5
in recent years,5
to listen to,5
and others to,5
losing 800 000,5
worse than they,5
policies like paid,5
called for addressing,5
23 million new,5
they need a,5
the big challenges,5
should be the,5
financial crisis since,5
the human genome,5
and trust we,5
with the reading,5
ahead and when,5
will work with,5
also heard about,5
be one of,5
women into the,5
job and classes,5
financial firms piled,5
worst financial crisis,5
the right thing,5
week in new,5
no matter where,5
taxes on the,5
all of the,5
but in the,5
many of the,5
limited consequences or,5
has been a,5
and i would,5
for conspiring to,5
main street grow,5
i will keep,5
me and that,5
for addressing the,5
way past time,5
be quite so,5
was alarmed by,5
and build on,5
and making it,5
stand in the,5
how hard this,5
you thank you,5
the senate i,5
some people think,5
will be waiting,5
grand daughter of,5
she doesn't expect,5
the flow of,5
benefits in order,4
our economy obviously,4
are real and,4
profits are at,4
financial trading for,4
look like in,4
us more than,4
to make new,4
establish businesses and,4
exactly what we,4
first grade teacher,4
school for welcoming,4
and you do,4
excessive risks on,4
can't do that,4
i love the,4
money five major,4
chance in the,4
to support and,4
we will not,4
we should also,4
firm is too,4
serious about supporting,4
been a major,4
problem we need,4
financial trading and,4
admitted guilt too,4
should it still,4
i know firsthand,4
in so many,4
endlessly to our,4
these areas in,4
classroom or the,4
us toward short,4
also to workers,4
the same time,4
strike a better,4
we need better,4
high skilled workers,4
and quarterly earnings,4
known on the,4
and the determination,4
these investments will,4
the majority of,4
them off we,4
the past 40,4
selling products they,4
as president now,4
president clinton i,4
research will do,4
sick days child,4
or at work,4
have spent more,4
what i have,4
moms understand more,4
with a deal,4
it s not,4
businesses especially small,4
financial institutions are,4
about an economy,4
provide for a,4
are losing because,4
her prescription drugs,4
getting closer to,4
a two week,4
americans deserve to,4
in technology and,4
hire and i,4
people out or,4
not delivering the,4
a major driver,4
money managers and,4
together and i,4
growth strategy and,4
becomes an adult,4
their responsibilities not,4
secure retirement previous,4
and we don't,4
many americans are,4
give people choices,4
about all of,4
together to develop,4
or invest in,4
him take those,4
fighting for women,4
mean spirited misguided,4
our gross domestic,4
commercial activity and,4
it even though,4
protect the affordable,4
not limited to,4
governor bush say,4
economy over recent,4
it is stacked,4
employers have to,4
pays off higher,4
entire economy so,4
unleashing innovation but,4
with every possible,4
is playing the,4
must be how,4
roads bridges and,4
a better future,4
best anti poverty,4
but i wanna,4
their dreams we,4
the economy in,4
overlooked and undervalued,4
money directly into,4
their part deserve,4
companies have prospered,4
social security and,4
country and that,4
know what it's,4
all the way,4
so we can,4
empower entrepreneurs with,4
another key ingredient,4
goes overlooked and,4
because while america,4
blue collar jobs,4
so they have,4
for some women,4
those profits possible,4
a half years,4
will as your,4
help families look,4
that the best,4
i proposed a,4
directly into employees,4
my first term,4
countries is because,4
for american families,4
credit and empowerment,4
but discouraging cut,4
so long as,4
keep the productive,4
i will i,4
the trucker who,4
you so much,4
and ensure that,4
is too complex,4
for equal work,4
americans concerns about,4
president obama has,4
anything you want,4
clear we must,4
raising incomes small,4
chance to study,4
already at the,4
share prices empowering,4
are better than,4
genome did in,4
what happens to,4
the teacher who,4
for learning and,4
we think about,4
an agenda to,4
learning and the,4
that because these,4
first job out,4
no firm is,4
years then there,4
far too long,4
ahead the defining,4
me to be,4
always how we,4
the measure of,4
up our country,4
from their republican,4
who made those,4
human beings responsible,4
for people that,4
reading a book,4
intervention to help,4
of crisis recedes,4
offer plans to,4
the record corporate,4
are not limited,4
trucker who drives,4
comprehensive strategy to,4
economy is creating,4
the old policies,4
you know you,4
next earnings report,4
national security and,4
responsibilities not just,4
companies so many,4
the global economy,4
set ambitious goals,4
night let him,4
want to have,4
to cut costs,4
after 9 11,4
potential for our,4
investors who want,4
a greater diversity,4
second key driver,4
gonna be enough,4
you have noticed,4
results as we,4
really early at,4
i will not,4
areas of commercial,4
for every worker,4
need fair growth,4
income alongside strong,4
especially while companies,4
both sides of,4
really help parents,4
represents a lot,4
investors not just,4
reform capital gains,4
by individuals and,4
investing in them,4
it has seemed,4
carried interest loophole,4
president now the,4
about tax reform,4
to share profits,4
so i have,4
and respond to,4
and research labs,4
didn't know why,4
for herself and,4
hard work and,4
new ideas as,4
mean it and,4
meet the threats,4
bringing millions of,4
business tax reform,4
age of three,4
and those running,4
own stock and,4
is physically formed,4
lot about tax,4
outside investors who,4
and earned sick,4
second those at,4
made under president,4
complex and too,4
that pays well,4
middle class incomes,4
jobs on net,4
us before nor,4
the carried interest,4
know how hard,4
that and we,4
and we want,4
that had been,4
many american workers,4
what's going on,4
productivity better service,4
good workers and,4
the tools they,4
to other countries,4
stories that they,4
would cut taxes,4
do it not,4
connect workers to,4
create greater incentives,4
busting giveaway to,4
so we've got,4
the system and,4
that mentoring that,4
economy so this,4
every possible partner,4
order to compete,4
the resources it,4
themselves out of,4
result is too,4
many directions and,4
can to reach,4
that we need,4
lives to prevent,4
our history nearly,4
lifts up our,4
delivering for them,4
peacetime expansion in,4
today is not,4
will lay out,4
day making sure,4
competitive globally but,4
i will make,4
means for herself,4
that create jobs,4
these attacks and,4
fight to put,4
argued that if,4
will change over,4
is the time,4
twenty five years,4
twice now in,4
only because we,4
defending and enhancing,4
college truly affordable,4
where we don't,4
the crash financial,4
that profit sharing,4
build on the,4
they design themselves,4
that small business,4
with the children's,4
about this but,4
i just want,4
crash financial firms,4
america today who,4
of americans built,4
to create opportunity,4
prescription drugs the,4
our capacity to,4
our union but,4
under president clinton,4
hospital here in,4
trickle down it,4
our faith community,4
age group eighty,4
to the nurse,4
in poor and,4
term share price,4
some cases admitted,4
the streets for,4
the human beings,4
successes today is,4
of our major,4
the most sophisticated,4
driving their own,4
the children's health,4
efforts underway and,4
especially with the,4
believe we can,4
and brain research,4
and provide for,4
for aging parents,4
learning especially in,4
about where to,4
going away but,4
too little on,4
in a global,4
into focus i,4
none is going,4
empowerment zones to,4
in and clean,4
stalled the united,4
enters kindergarten she,4
will appoint and,4
but as we,4
for the same,4
have to offer,4
capacity for learning,4
to working with,4
when we leave,4
global trade have,4
teenager was nearly,4
just for successful,4
big challenges we,4
academic institutions from,4
earnings reports and,4
them to improve,4
as a former,4
called it the,4
shadow of crisis,4
growth should be,4
ensure that stock,4
destiny the choices,4
country to undermine,4
businesses and entrepreneurs,4
the first time,4
it in a,4
see what's happening,4
grow families who,4
want to help,4
they do not,4
share especially while,4
are emerging from,4
the same work,4
into the formal,4
on my watch,4
while i was,4
incomes the evidence,4
we are problem,4
with some of,4
doing today when,4
expressed concern that,4
no matter who,4
that used to,4
youth cannot find,4
and the importance,4
in hand with,4
today are stretched,4
for business in,4
for years and,4
obviously runs on,4
it strong again,4
a family and,4
you for fighting,4
business leaders are,4
many hard working,4
to tackle now,4
to build companies,4
care to 16,4
is not there,4
their own stock,4
old fashioned idea,4
difficulties that stand,4
that we've got,4
up to their,4
for us more,4
anticipate that iran,4
president who saved,4
quarterly capitalism they,4
consumer economy without,4
of america you,4
pays well enough,4
obstacles to really,4
it to lower,4
simplification second those,4
former senator from,4
with that it,4
of you who,4
enforcement officers who,4
level jobs that,4
have made their,4
brain is physically,4
fairly so we,4
these challenges have,4
know last year,4
back their own,4
gender card deal,4
another third or,4
parents that she,4
delivering the way,4
this but another,4
twin cities you,4
you find it,4
crucial for raising,4
crisis as well,4
the concerns of,4
we don't want,4
course over the,4
economy to get,4
recedes and longer,4
seems to most,4
lobbyists end up,4
hillary rodham clinton,4
for an immediate,4
americans i love,4
for equal pay,4
occupations and create,4
and the choices,4
have one without,4
make these currents,4
short term like,4
both good workers,4
time she enters,4
should play in,4
to benefit from,4
role in providing,4
implement president obama's,4
be like in,4
be out there,4
who are on,4
stretch we need,4
our efforts to,4
as the project,4
million jobs a,4
many companies have,4
little on long,4
every day and,4
american life in,4
that approach it,4
that i believe,4
the next decade,4
bad for business,4
their child off,4
manufacturing base and,4
economy benefiting high,4
research shows by,4
know that when,4
us a good,4
be both good,4
you have been,4
fully in the,4
hand in hand,4
for this kind,4
here in manhattan,4
up our game,4
class i firmly,4
if we give,4
so hard the,4
has stalled the,4
again from so,4
our time and,4
human rights as,4
the results speak,4
if you want,4
is a drag,4
the past few,4
americans are making,4
show that profit,4
that it should,4
profit sharing that,4
care child care,4
and share in,4
burdens on businesses,4
or write them,4
incomes we have,4
platforms to connect,4
focus i believe,4
will be like,4
decades that bargain,4
about the hopes,4
productivity and put,4
that with all,4
stage for what,4
companies but discouraging,4
create jobs raise,4
our economy push,4
recovers money from,4
economy and for,4
emerging from institutions,4
that's exactly what,4
challenges have been,4
believe in the,4
can grow his,4
are particularly staggering,4
wages i hear,4
is why i,4
24 advanced countries,4
loans to local,4
family and provide,4
now there's a,4
capitalism they say,4
work but the,4
record highs and,4
refinance their student,4
in america closing,4
jobs a month,4
the young entrepreneur,4
run and help,4
and will fight,4
way to get,4
against us to,4
jobs there are,4
this changing world,4
for people who,4
to full employment,4
want to ask,4
americans twice now,4
train and hire,4
areas in the,4
to get skills,4
world trade center,4
it was the,4
are exciting efforts,4
greatest economy and,4
time to and,4
and the united,4
against these attacks,4
new markets for,4
states of america,4
there is something,4
we can't forget,4
we can make,4
industries just as,4
to pay their,4
off we not,4
not be able,4
numbers for young,4
incomes for millions,4
