bigram phrase,frequency
the average,24
is already,24
a woman,24
crumbling infrastructure,24
you got,24
super pac,24
and more,24
can be,24
have so,24
i say,24
may not,24
and so,24
country to,24
or she,24
a job,24
to give,24
close to,24
not to,24
of his,24
on top,24
lost their,24
has got,24
from fossil,24
he or,24
we also,24
in washington,24
like the,24
a whole,24
issue that,24
they cannot,24
of course,24
with you,24
and medical,24
to provide,24
jails and,24
clear that,24
billions of,24
campaign finance,24
by human,24
one person,24
child care,24
and as,24
same old,24
to overturn,24
to deal,24
you something,24
compared to,24
go back,24
our great,24
we can't,24
global economy,24
that any,24
living wage,24
protect the,24
and he,24
that a,22
a small,22
higher education,22
for working,22
very few,22
you already,22
americans and,22
do the,22
the fight,22
is real,22
human beings,22
proud of,22
hands of,22
the nineteen,22
people the,22
of family,22
facing our,22
bernie bernie,22
run for,22
know you,22
the next,22
to invest,22
time for,22
and fifty,22
today the,22
wrong when,22
about family,22
are serious,22
well and,22
pay for,22
yes we,22
my republican,22
wealth and,22
that today,22
for that,22
people we,22
years of,22
broken criminal,22
in american,22
not one,22
he was,22
to bring,22
recent years,22
a college,22
about our,22
the income,22
wealth than,22
working longer,22
be in,22
out in,22
elected president,22
to what,22
reality of,22
rest of,22
to live,22
create millions,22
a living,22
campaign contributions,22
public colleges,22
now is,22
bring about,22
believe it,22
about and,22
unemployment and,22
the hands,22
that's not,22
all our,22
who will,22
while the,22
all new,22
causing devastating,22
we got,22
human activity,22
will tell,22
rich and,22
my life,22
more and,22
lives on,22
tuition free,22
years we,22
our infrastructure,22
of school,22
it all,22
are talking,22
you guys,22
and working,22
most of,22
understand is,22
the rest,22
on their,22
a super,22
in other,22
country today,22
country are,22
think it,22
will make,22
me to,22
their own,22
can create,22
you get,22
already causing,22
hours for,22
lot more,22
of your,22
end the,22
in that,22
the money,22
a decent,22
system in,22
home and,22
will fight,22
children in,22
the end,20
of african,20
worried about,20
unemployment in,20
country but,20
greed and,20
people all,20
that would,20
together in,20
have done,20
top of,20
court decision,20
would have,20
a country,20
hundred billion,20
they can't,20
payer program,20
income is,20
country who,20
republican friends,20
economic and,20
world for,20
despite the,20
can live,20
no one,20
are doing,20
so let,20
in new,20
and clearly,20
thirty years,20
tired of,20
in his,20
goes to,20
was not,20
i did,20
to raise,20
people understand,20
of an,20
candidate for,20
super pacs,20
great depression,20
so you,20
you cannot,20
more important,20
our crumbling,20
trillion dollar,20
that will,20
whole lot,20
a broken,20
is it,20
our own,20
a tax,20
candidate who,20
nation we,20
transforming our,20
000 people,20
the case,20
country has,20
black and,20
family in,20
on that,20
wages and,20
pay equity,20
care and,20
running for,20
not get,20
is caused,20
country the,20
three jobs,20
in your,20
share of,20
the real,20
families in,20
that women,20
to fight,20
cents on,20
but they,20
think the,20
said you,20
moral responsibility,20
up looking,20
american kids,20
who would,20
to thank,20
that so,20
do and,20
the president,20
and make,20
who want,20
that has,20
people don't,20
american and,20
the well,20
can we,20
the reasons,20
well in,20
here to,20
our campaign,20
highest prices,20
the major,20
the vote,20
i mean,20
women who,20
work in,20
campaign contributors,20
is just,20
with this,20
china and,20
is we,20
of workers,20
and fight,20
prescription drugs,20
the dollar,20
the worst,20
all know,20
truth is,20
transform our,20
work and,20
to control,20
country people,20
police departments,20
fight to,20
you a,20
inequality is,20
belongs to,20
the city,20
and will,20
democratic socialism,20
equity for,20
fair share,20
every person,20
piece of,20
system away,20
out to,20
everyone else,20
it in,20
instead of,20
people back,20
the region,20
individual contributions,20
to transform,20
no money,20
off the,20
are very,20
few people,20
serious about,20
three percent,20
same time,18
of decent,18
is my,18
out on,18
came out,18
address the,18
40 hours,18
because all,18
already own,18
make the,18
of wealth,18
now we,18
be as,18
of police,18
women workers,18
loudly and,18
needs to,18
this nation,18
five years,18
looking at,18
but if,18
or a,18
because i,18
competitive global,18
the new,18
type of,18
where the,18
to address,18
i voted,18
a medicare,18
workers are,18
very serious,18
largest corporations,18
love you,18
but not,18
now in,18
been a,18
to that,18
so they,18
prices in,18
almost any,18
wealthy campaign,18
poverty and,18
to exist,18
mayor of,18
based on,18
sense to,18
working with,18
to pay,18
i'm gonna,18
middle east,18
very rich,18
and universities,18
say to,18
not want,18
because the,18
there was,18
need the,18
the future,18
are able,18
that what,18
insurance and,18
if elected,18
university in,18
years the,18
trade agreements,18
line to,18
full time,18
but to,18
well we,18
earth that,18
are we,18
the table,18
pre k,18
that and,18
other words,18
forty years,18
in debt,18
as you,18
over a,18
that that,18
person in,18
the the,18
a higher,18
which has,18
color of,18
system and,18
inequality than,18
the children,18
anybody else,18
the republicans,18
big money,18
finance system,18
know and,18
issues that,18
if i,18
colleges and,18
ago and,18
turns out,18
country when,18
devastating problems,18
families of,18
country where,18
if the,18
who has,18
must not,18
way we,18
how to,18
they could,18
have it,18
think that,18
people want,18
income inequality,18
people that,18
institutions in,18
your home,18
can't afford,18
make a,18
without a,18
are so,18
you how,18
and political,18
class families,18
responsibility to,18
i asked,18
my friends,18
out that,18
member of,18
house and,18
public college,18
state in,18
sustainable energy,18
i get,18
immigration reform,18
and sustainable,18
great middle,18
do in,18
to win,18
for it,18
everybody else,18
i didn't,18
are prepared,18
had no,18
in every,18
create jobs,18
to break,18
our government,18
create an,18
women and,18
people didn't,18
working part,18
vote to,18
is almost,18
me and,18
country there,18
every public,18
this point,18
federal government,18
best educated,18
them out,18
cayman islands,18
of age,18
it has,18
campaign and,18
vote and,18
republican colleagues,18
every man,18
this great,18
have one,18
part time,18
a word,18
that means,16
increase in,16
us not,16
right here,16
half of,16
our children,16
the color,16
send their,16
between the,16
did not,16
what a,16
one in,16
well is,16
wage to,16
and university,16
just to,16
for prescription,16
not know,16
as to,16
and we're,16
modern history,16
coming out,16
jobs program,16
world we,16
our young,16
trade policies,16
establishment politics,16
in 2008,16
be doing,16
like that,16
the police,16
school and,16
and now,16
of income,16
rebuild our,16
the financial,16
about you,16
and there,16
win this,16
but it's,16
system is,16
to expand,16
we make,16
58 percent,16
every worker,16
person one,16
has more,16
with china,16
establishment economics,16
in school,16
you go,16
to run,16
work full,16
why we,16
tens of,16
government and,16
what democracy,16
to continue,16
means to,16
the global,16
progress in,16
when a,16
the debate,16
is close,16
were in,16
take on,16
right of,16
to cut,16
less than,16
know in,16
be done,16
i see,16
do what,16
cannot accomplish,16
we come,16
to divide,16
today that,16
change that,16
my wife,16
while we,16
state and,16
country not,16
here tonight,16
the industrialized,16
graduated high,16
and latino,16
scientific community,16
a path,16
things that,16
too much,16
he said,16
election cycle,16
to stay,16
my brother,16
let us,16
for one,16
feed their,16
only way,16
school graduates,16
legislation that,16
start paying,16
how do,16
have introduced,16
like to,16
grassroots movement,16
a person,16
about a,16
our grandchildren,16
by saying,16
on to,16
money we,16
is one,16
people living,16
which will,16
medical leave,16
paying their,16
today and,16
twice as,16
it's a,16
will bring,16
and child,16
should we,16
many years,16
about how,16
is supposed,16
see the,16
their wealth,16
of taxes,16
investing in,16
and is,16
but let,16
we did,16
last year,16
the community,16
sexual orientation,16
be that,16
be proud,16
i ran,16
rigged economy,16
of jobs,16
all this,16
politics and,16
is and,16
the young,16
their fair,16
all about,16
the war,16
and one,16
is their,16
to ask,16
i had,16
more income,16
largest financial,16
and my,16
to leave,16
democratic party,16
see a,16
worker in,16
and education,16
the support,16
during the,16
and billions,16
a message,16
and some,16
means is,16
with your,16
the cayman,16
trillion dollars,16
that millions,16
people can,16
goes on,16
vote for,16
lack the,16
dollar compared,16
get out,16
of burlington,16
they get,16
a situation,16
cut social,16
you think,16
all very,16
cobble together,16
and i'll,16
the power,16
the system,16
and it's,16
you were,16
of bright,16
huge tax,14
have come,14
the economic,14
and most,14
the point,14
of 17,14
care for,14
couple of,14
economic establishment,14
on our,14
some people,14
with our,14
to purchase,14
away with,14
then i,14
majority of,14
the courage,14
paid family,14
and say,14
there's a,14
fifty years,14
their children,14
a moment,14
where every,14
how much,14
war in,14
activity and,14
likely to,14
to every,14
vermont and,14
or the,14
power of,14
here today,14
you want,14
extreme weather,14
normal trade,14
and for,14
bottom line,14
major issues,14
the department,14
would you,14
is time,14
with that,14
unable to,14
participate in,14
and underemployment,14
what america,14
is exactly,14
in an,14
a long,14
people were,14
have lost,14
your help,14
politics in,14
for office,14
is on,14
billionaires and,14
facing this,14
you see,14
who were,14
dollars and,14
on some,14
highly competitive,14
president to,14
in transforming,14
rebuilding our,14
a strong,14
didn't know,14
talk to,14
department of,14
years later,14
bailed out,14
planet in,14
say this,14
out because,14
in iraq,14
a new,14
technology and,14
american political,14
america the,14
problems that,14
moral issue,14
virtually unanimous,14
year period,14
with me,14
many ways,14
have we,14
will get,14
own much,14
coming together,14
we would,14
is pretty,14
richer and,14
you an,14
dropped out,14
has not,14
tax break,14
what their,14
our political,14
government of,14
you like,14
the law,14
my father,14
all that,14
is now,14
to working,14
of almost,14
the opposition,14
dollar investment,14
my parents,14
fellow americans,14
of wealthy,14
there will,14
about their,14
money they,14
me also,14
turnout is,14
kids who,14
debate is,14
back in,14
time it,14
to stop,14
to find,14
another issue,14
have some,14
world to,14
women are,14
their parents,14
of months,14
agree with,14
would like,14
what happened,14
a proliferation,14
what to,14
that have,14
billions and,14
rates of,14
win when,14
the kind,14
infrastructure and,14
dollars to,14
industrialized world,14
the we,14
to move,14
good paying,14
will spend,14
don't want,14
really is,14
has the,14
maybe we,14
women in,14
for us,14
police officers,14
more well,14
median family,14
to use,14
listen to,14
what he,14
seven years,14
to believe,14
and her,14
well you,14
the citizens,14
will vote,14
we create,14
real change,14
top 1,14
of color,14
college education,14
president obama,14
grew up,14
jobs in,14
the international,14
court will,14
don't think,14
take a,14
and with,14
to them,14
companies and,14
for his,14
grotesque level,14
cannot afford,14
what people,14
more are,14
university of,14
a government,14
that almost,14
hope that,14
the scientific,14
the planet,14
than they,14
an example,14
class is,14
mom and,14
are being,14
proliferation of,14
to washington,14
but that,14
now it,14
could be,14
stay home,14
income people,14
a simple,14
not so,14
and seven,14
and everyone,14
democracy and,14
the things,14
chairman of,14
world the,14
and around,14
ranking member,14
demanded a,14
well that,14
we believe,14
2000 and,14
system which,14
of billionaires,14
money to,14
few of,14
are just,14
civil rights,14
just in,14
unemployment rate,14
country have,14
it really,14
jail and,14
a privilege,14
are many,14
a serious,14
than i,14
are seeing,14
need and,14
a rigged,14
with no,14
leave this,14
racism and,14
am the,14
is there,14
drug companies,14
you would,14
something else,14
reality that,14
for my,14
well i,14
country as,14
have not,14
people as,14
here and,14
my heart,14
legislation to,14
of jail,14
ago we,14
must do,14
help the,14
world has,14
know when,14
the business,14
go hungry,14
breaks for,14
can't do,14
the you,14
one reason,14
president i,14
percentage of,14
worst economic,14
that person,14
sixty three,14
as if,14
didn't vote,14
that we've,14
a police,14
uh the,14
family income,14
the job,14
can not,14
in some,14
educated workforce,14
a corrupt,14
to cobble,14
of time,14
institutional racism,14
he is,14
people young,14
to allow,14
doing the,14
problems in,14
engage in,12
fighting for,12
or in,12
earth does,12
long hours,12
care of,12
our nation,12
acceptable to,12
a democratic,12
democrats and,12
work you,12
i hear,12
back into,12
our roads,12
because when,12
wealth is,12
habitable for,12
that their,12
police officer,12
given the,12
bush left,12
income generated,12
disastrous supreme,12
throughout our,12
very important,12
are tired,12
americans who,12
all those,12
worker productivity,12
is unsustainable,12
and dad,12
what we're,12
these people,12
this we,12
it turns,12
what politics,12
crises facing,12
wealthiest nation,12
provide health,12
financial institution,12
third of,12
seen a,12
and jobs,12
reason why,12
why should,12
was able,12
do to,12
not democracy,12
all across,12
it i,12
at this,12
spend more,12
wealthy people,12
you're not,12
courage to,12
still have,12
states supreme,12
city in,12
continues to,12
is worse,12
saying to,12
the modern,12
is when,12
that for,12
only for,12
out the,12
every state,12
know it,12
you're going,12
economics it,12
created a,12
than we,12
a number,12
a massive,12
democratic society,12
when our,12
jobs to,12
as an,12
seems to,12
and on,12
this disastrous,12
control the,12
medicaid and,12
put millions,12
left office,12
what goes,12
workforce in,12
so called,12
i thought,12
who put,12
many thousands,12
know how,12
jobs for,12
can no,12
america but,12
came up,12
own body,12
like this,12
you about,12
people you,12
this legislation,12
system that,12
year in,12
over our,12
street corners,12
to establish,12
country they,12
they're not,12
country it,12
where people,12
what i'm,12
if you're,12
last two,12
buy the,12
very wealthy,12
you should,12
we win,12
it seems,12
economic downturn,12
change and,12
the now,12
kinds of,12
on street,12
great political,12
families are,12
of high,12
matter their,12
drop out,12
free and,12
every day,12
view of,12
not talking,12
applause and,12
federal minimum,12
progressive agenda,12
take this,12
saudi arabia,12
america it,12
the in,12
already know,12
with their,12
them in,12
the streets,12
to feed,12
weather disturbances,12
but you,12
concerned about,12
me a,12
it for,12
people know,12
this economy,12
just say,12
into a,12
study hard,12
former chairman,12
their life,12
that not,12
eighty percent,12
and tell,12
rates on,12
corrupted and,12
to their,12
wall street's,12
care is,12
about i,12
proud to,12
i quote,12
not an,12
get richer,12
serious problems,12
the women,12
here knows,12
kid in,12
exactly what,12
them up,12
families lack,12
the 1,12
most people,12
support and,12
being the,12
you pay,12
of legislation,12
refinance your,12
their jobs,12
backs on,12
family value,12
of enormous,12
be shocked,12
three and,12
get into,12
got the,12
revolution in,12
are also,12
once again,12
program which,12
forced to,12
come up,12
about democracy,12
do well,12
jpmorgan chase,12
tax havens,12
and others,12
world but,12
so the,12
think we,12
forty percent,12
been disappearing,12
leave the,12
community is,12
long time,12
all kinds,12
are looking,12
everything that,12
is prepared,12
not for,12
than at,12
it does,12
energy and,12
we look,12
recklessness and,12
they mean,12
the morning,12
republican governors,12
and clear,12
of new,12
and those,12
the education,12
and have,12
here's the,12
you is,12
on student,12
didn't have,12
you include,12
17 and,12
and recklessness,12
which i,12
me is,12
what our,12
nation and,12
people will,12
congress and,12
don't need,12
baseball game,12
they wanted,12
that's why,12
ideas and,12
who do,12
say you,12
fuel industry,12
per capita,12
average contribution,12
to people,12
it as,12
want a,12
15 an,12
to rebuild,12
underinsured with,12
a starvation,12
figure out,12
nothing that,12
a system,12
ordinary americans,12
told me,12
but i'm,12
our veterans,12
bright young,12
great idea,12
situation where,12
her own,12
their homes,12
last week,12
but a,12
people here,12
i worked,12
you for,12
now and,12
right wing,12
is very,12
what has,12
the congress,12
saying this,12
the front,12
last forty,12
the many,12
when he,12
someone who,12
bring people,12
federal jobs,12
with us,12
iraq and,12
having more,12
break up,12
starvation wage,12
jobs we,12
millions and,12
in south,12
not gonna,12
will continue,12
water systems,12
country was,12
which the,12
that many,12
muslim nations,12
a home,12
campaign to,12
matter what,12
and bring,12
you tell,12
of kids,12
democracy in,12
the ground,12
needs of,12
i grew,12
changes that,12
the lowest,12
care system,12
money for,12
once the,12
is you,12
great moral,12
a highly,12
come out,12
10 percent,12
and we'll,12
at any,12
than it,12
and they're,12
will in,12
being able,12
facing the,12
cuts in,12
democratic or,12
levels of,12
political power,12
the bank,12
many more,12
can and,12
no health,12
acceptable that,12
rich richer,12
are too,12
foundations of,12
more extreme,12
the disastrous,12
people should,12
i just,12
entire world,12
trade relations,12
begin to,12
who is,12
takes place,12
than that,12
about jobs,12
with an,12
loud and,12
i promise,12
to start,12
people demanded,12
she will,12
or republican,12
dollars over,12
fair when,12
it into,12
three times,12
were too,12
can have,12
whether we,12
people came,12
worse today,12
for them,12
you need,12
will never,12
to refinance,12
have an,12
brooklyn new,12
and his,12
what does,12
27 million,12
education for,12
two hundred,12
sick and,12
who came,12
people out,12
in iowa,12
exactly the,12
say a,12
is our,12
can't get,12
not fair,12
in 1999,12
should have,12
other people,12
people do,12
financial system,12
of student,12
life and,12
co payments,12
for you,12
are people,10
the car,10
world as,10
than either,10
democracy that,10
year and,10
six months,10
defend this,10
what's wrong,10
issue which,10
those are,10
our backs,10
too late,10
get that,10
equivalent to,10
the gdp,10
be an,10
every single,10
ninety percent,10
the credit,10
years to,10
trans pacific,10
can i,10
people for,10
man woman,10
police department,10
young men,10
their people,10
applause we,10
under the,10
mean by,10
all but,10
been married,10
and together,10
had to,10
is unfair,10
pacific partnership,10
the whole,10
the wisconsin,10
not in,10
in her,10
makes a,10
for 27,10
with large,10
the budget,10
and work,10
very difficult,10
the medicine,10
this if,10
i'm going,10
a pretty,10
and of,10
states must,10
republican candidates,10
three months,10
i came,10
have sent,10
and she,10
the wall,10
29 million,10
about my,10
i went,10
78 cents,10
again and,10
i'm the,10
children and,10
time in,10
ago i,10
to defeat,10
security and,10
public education,10
the absurdity,10
any candidate,10
me conclude,10
or three,10
racism in,10
you feel,10
the funds,10
or not,10
not believe,10
the enormous,10
thirty million,10
all americans,10
were not,10
nutrition programs,10
just like,10
all to,10
incredibly long,10
me begin,10
changes in,10
can refinance,10
hard working,10
violence and,10
of fighting,10
struggling to,10
the gap,10
it the,10
if that,10
comes from,10
word about,10
owned by,10
impacts every,10
does it,10
people come,10
his own,10
are paying,10
don't get,10
last thirty,10
79 cents,10
and campaign,10
kids are,10
allowed to,10
and economic,10
seem to,10
in police,10
to build,10
having a,10
getting a,10
cannot continue,10
gonna give,10
get away,10
we as,10
dollars on,10
you you,10
say it,10
without saying,10
the fed,10
which means,10
having the,10
care in,10
and must,10
well let,10
off of,10
police records,10
not do,10
is habitable,10
what's the,10
in two,10
islands and,10
industrialized country,10
the longest,10
corrupt campaign,10
so well,10
jobs the,10
get all,10
creating jobs,10
great economic,10
of youth,10
an international,10
they deserve,10
am talking,10
promise of,10
is virtually,10
why is,10
married for,10
up for,10
the dream,10
and its,10
said to,10
huge increase,10
overturn citizens,10
job in,10
make every,10
the polls,10
does that,10
can afford,10
throughout the,10
applause i,10
stood up,10
more rising,10
their sexual,10
for those,10
have never,10
one hundred,10
the benefits,10
wealth as,10
it very,10
seen as,10
low interest,10
political life,10
many cases,10
we could,10
years in,10
have had,10
the us,10
gdp of,10
programs that,10
all these,10
every month,10
then we,10
real issues,10
bernie is,10
legislation which,10
is they,10
very long,10
five and,10
unfair to,10
ceos of,10
you as,10
do as,10
struggle for,10
the fossil,10
breaks the,10
the needs,10
before you,10
whether it's,10
this beautiful,10
class family,10
must address,10
in large,10
idea and,10
americans this,10
decision in,10
job that,10
that happen,10
bank of,10
country once,10
the wealth,10
to prison,10
7 25,10
we end,10
before we,10
now the,10
clearly that,10
expand social,10
class to,10
values but,10
to elect,10
that wall,10
beautiful grandchildren,10
look to,10
is owned,10
comprehensive immigration,10
governors and,10
talks about,10
medical and,10
economic issue,10
i wanted,10
a profound,10
depression and,10
million dollars,10
i appreciate,10
must work,10
to participate,10
disastrous trade,10
also have,10
voting rights,10
much more,10
the number,10
is for,10
the families,10
75 bucks,10
vast majority,10
much wealth,10
can go,10
a billion,10
say the,10
america are,10
knows that,10
buying elections,10
in politics,10
which takes,10
economy in,10
opposition to,10
american middle,10
promise to,10
permanent normal,10
in education,10
system we,10
one and,10
these issues,10
here this,10
money than,10
grandchildren and,10
woman and,10
in jobs,10
